next.config.ts(1,33): error TS2307: Cannot find module 'next' or its corresponding type declarations.
src/app/(authenticated)/organization/page.tsx(141,25): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/(authenticated)/organization/page.tsx(141,95): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/(authenticated)/organization/page.tsx(142,23): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/(authenticated)/organization/page.tsx(143,21): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/(authenticated)/organization/page.tsx(146,21): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/(authenticated)/organization/page.tsx(147,23): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/(authenticated)/organization/page.tsx(147,115): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/(authenticated)/organization/page.tsx(148,21): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/(authenticated)/organization/page.tsx(150,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/(authenticated)/organization/page.tsx(151,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/(authenticated)/organization/page.tsx(152,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/(authenticated)/organization/page.tsx(153,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/(authenticated)/organization/page.tsx(155,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/(authenticated)/organization/page.tsx(156,5): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/api/allocations/create/route.ts(1,30): error TS2307: Cannot find module 'next/server' or its corresponding type declarations.
src/app/api/allocations/create/route.ts(2,24): error TS2307: Cannot find module '../../../../../lib/prisma' or its corresponding type declarations.
src/app/api/allocations/return/route.ts(1,30): error TS2307: Cannot find module 'next/server' or its corresponding type declarations.
src/app/api/allocations/return/route.ts(2,24): error TS2307: Cannot find module '../../../../../lib/prisma' or its corresponding type declarations.
src/app/api/assets/route.ts(1,30): error TS2307: Cannot find module 'next/server' or its corresponding type declarations.
src/app/api/assets/route.ts(2,24): error TS2307: Cannot find module '../../../../lib/prisma' or its corresponding type declarations.
src/app/api/auth/login/route.ts(1,30): error TS2307: Cannot find module 'next/server' or its corresponding type declarations.
src/app/api/auth/login/route.ts(3,20): error TS2307: Cannot find module 'bcryptjs' or its corresponding type declarations.
src/app/api/auth/login/route.ts(5,25): error TS2307: Cannot find module 'next/headers' or its corresponding type declarations.
src/app/api/auth/login/route.ts(45,15): error TS2580: Cannot find name 'process'. Do you need to install type definitions for node? Try `npm i --save-dev @types/node`.
src/app/api/auth/logout/route.ts(1,30): error TS2307: Cannot find module 'next/server' or its corresponding type declarations.
src/app/api/auth/logout/route.ts(2,25): error TS2307: Cannot find module 'next/headers' or its corresponding type declarations.
src/app/api/auth/signup/route.ts(1,30): error TS2307: Cannot find module 'next/server' or its corresponding type declarations.
src/app/api/auth/signup/route.ts(3,20): error TS2307: Cannot find module 'bcryptjs' or its corresponding type declarations.
src/app/api/organization/categories/route.ts(1,30): error TS2307: Cannot find module 'next/server' or its corresponding type declarations.
src/app/api/organization/departments/route.ts(1,30): error TS2307: Cannot find module 'next/server' or its corresponding type declarations.
src/app/api/organization/users/promote/route.ts(1,30): error TS2307: Cannot find module 'next/server' or its corresponding type declarations.
src/app/api/organization/users/route.ts(1,30): error TS2307: Cannot find module 'next/server' or its corresponding type declarations.
src/app/api/transfers/approve/route.ts(1,30): error TS2307: Cannot find module 'next/server' or its corresponding type declarations.
src/app/api/transfers/approve/route.ts(2,24): error TS2307: Cannot find module '../../../../../lib/prisma' or its corresponding type declarations.
src/app/api/transfers/request/route.ts(1,30): error TS2307: Cannot find module 'next/server' or its corresponding type declarations.
src/app/api/transfers/request/route.ts(2,24): error TS2307: Cannot find module '../../../../../lib/prisma' or its corresponding type declarations.
src/app/api/transfers/route.ts(1,30): error TS2307: Cannot find module 'next/server' or its corresponding type declarations.
src/app/api/transfers/route.ts(2,24): error TS2307: Cannot find module '../../../../lib/prisma' or its corresponding type declarations.
src/app/layout.tsx(1,31): error TS2307: Cannot find module 'next' or its corresponding type declarations.
src/app/layout.tsx(2,35): error TS2307: Cannot find module 'next/font/google' or its corresponding type declarations.
src/app/layout.tsx(23,13): error TS2503: Cannot find namespace 'React'.
src/app/layout.tsx(26,5): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/layout.tsx(26,5): error TS2875: This JSX tag requires the module path 'react/jsx-runtime' to exist, but none could be found. Make sure you have types for the appropriate package installed.
src/app/layout.tsx(30,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/layout.tsx(30,60): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/layout.tsx(31,5): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(3,26): error TS2307: Cannot find module 'react' or its corresponding type declarations.
src/app/login/page.tsx(4,27): error TS2307: Cannot find module 'next/navigation' or its corresponding type declarations.
src/app/login/page.tsx(5,18): error TS2307: Cannot find module 'next/link' or its corresponding type declarations.
src/app/login/page.tsx(6,29): error TS2307: Cannot find module 'lucide-react' or its corresponding type declarations.
src/app/login/page.tsx(15,33): error TS2503: Cannot find namespace 'React'.
src/app/login/page.tsx(44,5): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(44,5): error TS2875: This JSX tag requires the module path 'react/jsx-runtime' to exist, but none could be found. Make sure you have types for the appropriate package installed.
src/app/login/page.tsx(45,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(46,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(48,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(49,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(51,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(52,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(54,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(55,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(57,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(58,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(59,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(61,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(62,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(62,60): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(63,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(66,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(67,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(67,88): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(68,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(69,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(73,29): error TS7006: Parameter 'e' implicitly has an 'any' type.
src/app/login/page.tsx(76,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(77,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(79,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(80,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(80,83): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(81,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(82,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
src/app/login/page.tsx(86,29): error TS7006: Parameter 'e' implicitly has an 'any' type.
src/app/login/page.tsx(89,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
